gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2001,7,2001-07-31,309.067,89.121,826.931,43.942,46.936,4.942,107.193,0.951,26.722,0.0,0.0
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2002,7,2002-07-31,497.503,162.884,1245.3,86.876,51.841,5.225,117.815,1.091,51.182,0.0,0.0
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2003,7,2003-07-31,608.941,194.119,1571.404,130.756,73.415,6.385,172.233,1.428,78.631,0.0,0.0
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2004,7,2004-07-31,762.587,250.983,2187.739,177.032,98.763,8.455,199.166,5.152,106.085,0.0,0.0
010549,THOR INDUSTRIES INC,THO,11,885160101,USA,3716,A,2005,7,2005-07-31,857.879,260.492,2558.351,197.075,139.789,10.775,208.815,23.824,121.767,0.0,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2000,12,2000-12-31,44.721,9.363,30.429,2.639,9.309,1.343,16.056,0.0,-1.729,0.0,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2001,12,2001-12-31,530.241,156.898,113.384,10.287,22.645,19.845,91.726,0.0,-87.866,54.838,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2002,12,2002-12-31,468.432,94.092,130.844,17.748,24.715,17.076,45.483,0.0,0.511,0.0,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2003,12,2003-12-31,476.131,89.895,149.916,24.841,28.492,18.914,62.02,0.0,-2.182,0.0,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2004,12,2004-12-31,524.415,232.307,172.341,24.489,27.584,18.782,149.221,0.0,3.564,143.75,0.0
010550,THORATEC CORP,THOR.1,14,885175307,USA,3845,I,2005,12,2005-12-31,573.918,225.771,201.712,39.515,28.906,18.888,214.266,0.0,13.198,143.75,0.0
010552,THOUSAND TRAILS INC,TRV.2,12,885502104,USA,7000,I,2000,6,2000-06-30,74.515,56.406,66.004,4.78,45.377,2.662,2.42,0.0,9.249,7.043,2.905
010552,THOUSAND TRAILS INC,TRV.2,12,885502104,USA,7000,I,2001,6,2001-06-30,83.949,61.514,74.264,5.013,41.952,2.703,9.016,0.0,4.276,0.0,0.0
010552,THOUSAND TRAILS INC,TRV.2,12,885502104,USA,7000,I,2002,6,2002-06-30,92.24,71.577,82.58,9.969,43.477,2.997,9.523,0.0,8.326,0.0,0.0
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,1999,5,2000-05-31,6492.954,1275.929,4333.942,437.059,705.824,304.415,3639.931,0.0,674.303,14.74,14.459
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2000,5,2001-05-31,3452.802,947.381,2820.881,-753.363,609.679,304.515,1664.586,0.0,-965.376,2.385,0.328
