gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc,log_assets,ebitda_margin,asset_tangibility,cash_holdings,non_debt_tax_shield,roa,book_leverage,lev
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2007,5,2008-05-31,1775.13,779.828,1294.879,59.522,54.314,136.03,503.644,,-228.841,253.0,48.0,7.481628938664259,0.045967229370466274,0.030597195698343217,0.2837223189287545,0.07663100730650713,-0.12891506537549363,0.1695650459402973,0.1695650459402973
174355,SHENGKAI INNOVATIONS INC,VALV,19,82321P203,USA,3490,A,2012,6,2012-06-30,143.597,4.006,32.318,5.597,54.068,4.865,64.944,,2.422,,0.124,4.967010765030993,0.17318522185778826,0.37652597199105825,0.45226571585757364,0.0338795378733539,0.016866647631914315,0.0008635277895777766,0.0008635277895777766
021166,AMERICAN PACIFIC BANK  -CL B,,,,USA,6020,I,2001,12,2001-12-31,75.749,68.967,7.912,2.053,0.916,0.124,1.435,,0.537,11.0,,4.327425242982208,0.259479271991911,0.012092568878797082,0.018944144477154815,0.0016369853067367227,0.007089202497722743,0.1452164385008383,0.1452164385008383
065552,IDENTIV INC,INVE,14,45170X205,USA,3577,A,2008,12,2008-12-31,41.138,13.012,28.362,-7.355,1.236,0.297,20.55,,-10.11,,,3.7169322685559716,-0.2593258585431211,0.03004521367105839,0.4995381399192961,0.007219602314162088,-0.24575817978511352,0.0,0.0
020430,SLM CORP,SLM,14,78442P106,USA,6141,A,2024,12,2024-12-31,30072.11,27912.19,2987.314,1078.425,119.354,22.591,5226.17,99.172,608.325,5117.605,1322.74,10.31135344312506,0.36100155524327204,0.003968926689879759,0.1737879383920849,0.0007512276325139806,0.02022887652379564,0.214163389266666,0.214163389266666
190963,NATIONAL BANK HLDGS CORP,,,,USA,6020,A,2022,12,2022-12-31,9573.243,8481.041,350.456,139.407,169.711,16.448,195.505,30.429,71.274,475.404,20.214,9.166727298516385,0.39778745405985344,0.017727639421667246,0.020422024177177995,0.001718122061667086,0.00744512596201726,0.051771170960561635,0.051771170960561635
061381,AMERICAN POWER GROUP CORP,APGI,19,02906V102,USA,5900,A,2010,9,2010-09-30,6.927,4.409,2.575,-5.076,0.975,0.508,1.052,,-5.642,1.135,0.706,1.935426819040468,-1.97126213592233,0.140753572975314,0.15186949617439008,0.07333622058611232,-0.8144940089504837,0.26577161830518264,0.26577161830518264
179202,ECHOSTAR CORP,SATS,14,278768106,USA,4899,A,2019,12,2019-12-31,7154.298,3408.745,1886.081,598.943,2642.78,490.765,2460.054,,-62.917,2486.674,15.137,8.875468573969588,0.3175595321727964,0.36939752859050606,0.343856797690004,0.06859722645044979,-0.008794294003408861,0.3496934290408367,0.3496934290408367
028119,BROOKFIELD PROPERTY REIT,BPYU,14,11282X103,USA,6798,I,2002,12,2002-12-31,7280.822,4900.85,1066.273,,,,53.64,170.614,209.258,4592.311,,8.892999046904555,0.11070856853989385,0.010320582740063824,0.007367300010905362,0.008842549821829221,0.028740985564542028,0.6307407322964357,0.6307407322964357
006335,KANSAS CITY SOUTHERN,KSU,11,485170302,USA,4011,I,2001,12,2001-12-31,2010.9,1330.6,577.3,113.4,1327.4,58.0,24.7,,30.7,611.7,46.7,7.606337662032022,0.19643166464576478,0.6601024416927744,0.012283057337510566,0.028842806703466107,0.01526679596200706,0.3274155850614153,0.3274155850614153
002918,CHAMPION PARTS INC,CREB,19,158609107,USA,3714,I,2003,12,2003-12-31,25.641,25.404,24.038,1.976,2.324,0.45,0.135,,1.13,2.114,10.12,3.2441926328519908,0.08220317830102337,0.09063609063609064,0.005265005265005266,0.01755001755001755,0.04407004407004407,0.4771264771264771,0.4771264771264771
017184,SEACOAST BANKING CORP/FL,SBCF,14,811707801,USA,6020,A,2003,12,2003-12-31,1353.823,1249.739,80.327,36.959,16.847,10.718,45.183,7.086,14.016,40.0,74.158,7.210687721145733,0.46010681340022663,0.012444019639199512,0.033374377595889564,0.007916839941410361,0.010352904330920659,0.08432269210967755,0.08432269210967755
010386,TECUMSEH PRODUCTS CO,TECUB,14,878895101,USA,3585,I,2006,12,2006-12-31,1782.7,984.3,1769.1,-12.5,552.4,76.4,81.9,,-80.3,217.3,163.2,7.485884347957816,-0.0070657396416256854,0.3098670555898356,0.04594154933527795,0.04285634150445953,-0.045044034329948954,0.2134402872048017,0.2134402872048017
117862,ARCH CHEMICALS INC,ARJ,11,03937R102,USA,2800,I,2000,12,2000-12-31,1073.6,653.8,941.2,110.3,330.8,55.7,19.1,17.8,0.5,247.6,95.8,6.978772766217417,0.11719082022949426,0.3081222056631893,0.017790611028315948,0.05188152011922505,0.0004657228017883756,0.31985842026825634,0.31985842026825634
184603,QLIK TECHNOLOGIES INC,QLIK,14,74733T105,USA,7372,I,2015,12,2015-12-31,666.596,304.801,612.732,5.987,31.404,15.089,320.058,,-36.491,,,6.502184165255576,0.009770992864743477,0.04711099376533912,0.4801378946168294,0.022635899405336966,-0.05474230268408451,0.0,0.0
004600,FEDERAL-MOGUL HOLDINGS CORP,3FDMLQ,13,313549107,USA,3714,I,2010,12,2010-12-31,7296.0,5931.0,6219.0,607.0,1802.0,333.0,1105.0,,161.0,2752.0,73.0,8.895081531754167,0.09760411641743046,0.24698464912280702,0.15145285087719298,0.04564144736842105,0.02206688596491228,0.3871984649122807,0.3871984649122807
112965,FLORIDA BANKS INC,FLBK.,14,340560101,USA,6020,I,2000,12,2000-12-31,372.797,334.24,24.777,0.812,3.3,0.648,43.688,,-1.08,7.223,18.812,5.9210340355687565,0.03277232917625217,0.008852002564398317,0.11718978425255568,0.001738211412645488,-0.002897019021075813,0.0698369353830637,0.0698369353830637
025683,PAYBOX CORP,PBOX,19,70433R209,USA,7370,I,2007,12,2007-12-31,4.522,5.567,10.111,2.545,0.443,0.329,2.184,,2.1,0.149,0.12,1.5089543738557782,0.2517060627039857,0.0979655019902698,0.48297213622291024,0.07275541795665634,0.4394668482583926,0.05948695267580716,0.05948695267580716
065026,OUTERWALL INC,OUTR,14,690070107,USA,3578,I,2009,12,2009-12-31,1222.799,810.408,1144.791,196.245,400.289,99.77,192.296,,53.643,429.223,33.208,7.108897772221121,0.17142430365018593,0.32735470015922485,0.15725887901445781,0.08159149623118762,0.04386902508098224,0.37817417253367075,0.37817417253367075
132518,ASIAINFO-LINKAGE INC,ASIA.1,14,04518A104,USA,7372,I,2010,12,2010-12-31,1253.206,312.91,343.383,89.391,5.961,25.126,294.039,,56.211,,,7.133460346809953,0.2603244773328907,0.004756600271623341,0.23462942245728158,0.020049377356954886,0.044853759078714917,0.0,0.0
177109,CAI INTERNATIONAL INC,CAI.3,11,12477X106,USA,7359,I,2007,12,2007-12-31,359.099,227.951,64.872,43.583,243.074,8.932,8.433,,19.234,147.6,0.031,5.883598116488533,0.6718306819583179,0.6768996850450711,0.023483774669380866,0.024873363612819863,0.05356183113848828,0.411115040699083,0.411115040699083
041309,SHUTTLE PHARMACEUTICAL H INC,SHPH,14,825693401,USA,2834,A,2021,12,2021-12-31,0.652,2.28,,-1.737,0.136,0.006,0.505,,-1.152,0.063,0.916,-0.4277107170554841,0.11070856853989385,0.20858895705521474,0.7745398773006135,0.009202453987730062,-1.7668711656441716,1.5015337423312884,1.5015337423312884
